time_s,CH1_V,CH2_V
9.900016595008401254e-04,9.019607843137255054e-01,7.843137254901960675e-02
9.900036595007835616e-04,9.411764705882352811e-01,-3.921568627450980338e-02
9.900056595007269977e-04,9.411764705882352811e-01,-3.921568627450980338e-02
9.900076595006704339e-04,8.235294117647058432e-01,7.843137254901960675e-02
9.900096595006138700e-04,9.019607843137255054e-01,-7.843137254901960675e-02
9.900116595005573061e-04,9.019607843137255054e-01,1.568627450980392135e-01
9.900136595005007423e-04,9.411764705882352811e-01,0.000000000000000000e+00
9.900156595004441784e-04,8.627450980392157298e-01,-3.921568627450980338e-02
9.900176595003876145e-04,8.627450980392157298e-01,3.921568627450980338e-02
9.900196595003310507e-04,9.019607843137255054e-01,-7.843137254901960675e-02
9.900216595002744868e-04,9.411764705882352811e-01,7.843137254901960675e-02
9.900236595002179230e-04,8.627450980392157298e-01,0.000000000000000000e+00
9.900256595001613591e-04,8.235294117647058432e-01,3.921568627450980338e-02
9.900276595001047952e-04,9.019607843137255054e-01,1.176470588235294101e-01
9.900296595000482314e-04,9.411764705882352811e-01,-7.843137254901960675e-02
9.900316594999916675e-04,8.627450980392157298e-01,3.921568627450980338e-02
9.900336594999351036e-04,8.627450980392157298e-01,0.000000000000000000e+00
9.900356594998785398e-04,9.019607843137255054e-01,-3.921568627450980338e-02
9.900376594998219759e-04,9.411764705882352811e-01,7.843137254901960675e-02
9.900396594997654121e-04,8.235294117647058432e-01,-7.843137254901960675e-02
9.900416594997088482e-04,9.019607843137255054e-01,7.843137254901960675e-02
9.900436594996522843e-04,8.627450980392157298e-01,0.000000000000000000e+00
9.900456594995957205e-04,9.411764705882352811e-01,-3.921568627450980338e-02
9.900476594995391566e-04,8.235294117647058432e-01,7.843137254901960675e-02
9.900496594994825927e-04,8.627450980392157298e-01,-1.568627450980392135e-01
9.900516594994260289e-04,9.019607843137255054e-01,1.176470588235294101e-01
9.900536594993694650e-04,9.411764705882352811e-01,0.000000000000000000e+00
9.900556594993129012e-04,8.627450980392157298e-01,-3.921568627450980338e-02
9.900576594992563373e-04,9.019607843137255054e-01,3.921568627450980338e-02
9.900596594991997734e-04,9.019607843137255054e-01,-7.843137254901960675e-02
9.900616594991432096e-04,9.411764705882352811e-01,7.843137254901960675e-02
9.900636594990866457e-04,8.627450980392157298e-01,0.000000000000000000e+00
9.900656594990300818e-04,8.235294117647058432e-01,0.000000000000000000e+00
9.900676594989735180e-04,8.627450980392157298e-01,1.176470588235294101e-01
9.900696594989169541e-04,9.411764705882352811e-01,-7.843137254901960675e-02
9.900716594988603902e-04,8.627450980392157298e-01,0.000000000000000000e+00
