time_s,CH1_V,CH2_V
9.900019720008312873e-04,9.019607843137255054e-01,-7.843137254901960675e-02
9.900039720007747235e-04,9.411764705882352811e-01,7.843137254901960675e-02
9.900059720007181596e-04,8.627450980392157298e-01,0.000000000000000000e+00
9.900079720006615958e-04,9.019607843137255054e-01,0.000000000000000000e+00
9.900099720006050319e-04,9.019607843137255054e-01,1.568627450980392135e-01
9.900119720005484680e-04,9.411764705882352811e-01,-7.843137254901960675e-02
9.900139720004919042e-04,8.235294117647058432e-01,3.921568627450980338e-02
9.900159720004353403e-04,8.627450980392157298e-01,0.000000000000000000e+00
9.900179720003787764e-04,8.627450980392157298e-01,3.921568627450980338e-02
9.900199720003222126e-04,9.411764705882352811e-01,1.176470588235294101e-01
9.900219720002656487e-04,8.235294117647058432e-01,-7.843137254901960675e-02
9.900239720002090849e-04,9.019607843137255054e-01,7.843137254901960675e-02
9.900259720001525210e-04,9.019607843137255054e-01,0.000000000000000000e+00
9.900279720000959571e-04,9.411764705882352811e-01,-7.843137254901960675e-02
9.900299720000393933e-04,8.627450980392157298e-01,7.843137254901960675e-02
9.900319719999828294e-04,9.019607843137255054e-01,-1.960784313725490169e-01
9.900339719999262655e-04,9.019607843137255054e-01,1.568627450980392135e-01
9.900359719998697017e-04,9.411764705882352811e-01,0.000000000000000000e+00
9.900379719998131378e-04,8.627450980392157298e-01,-3.921568627450980338e-02
9.900399719997565740e-04,8.235294117647058432e-01,7.843137254901960675e-02
9.900419719997000101e-04,9.019607843137255054e-01,-7.843137254901960675e-02
9.900439719996434462e-04,9.411764705882352811e-01,7.843137254901960675e-02
9.900459719995868824e-04,8.627450980392157298e-01,0.000000000000000000e+00
9.900479719995303185e-04,8.627450980392157298e-01,0.000000000000000000e+00
9.900499719994737546e-04,9.019607843137255054e-01,1.176470588235294101e-01
9.900519719994171908e-04,9.411764705882352811e-01,-7.843137254901960675e-02
9.900539719993606269e-04,8.627450980392157298e-01,3.921568627450980338e-02
9.900559719993040630e-04,8.627450980392157298e-01,0.000000000000000000e+00
9.900579719992474992e-04,9.411764705882352811e-01,0.000000000000000000e+00
9.900599719991909353e-04,9.411764705882352811e-01,7.843137254901960675e-02
9.900619719991343715e-04,8.235294117647058432e-01,-7.843137254901960675e-02
9.900639719990778076e-04,8.235294117647058432e-01,7.843137254901960675e-02
9.900659719990212437e-04,9.019607843137255054e-01,0.000000000000000000e+00
9.900679719989646799e-04,9.411764705882352811e-01,-7.843137254901960675e-02
9.900699719989081160e-04,8.627450980392157298e-01,7.843137254901960675e-02
9.900719719988515521e-04,9.019607843137255054e-01,-1.568627450980392135e-01
9.900739719987949883e-04,8.627450980392157298e-01,1.568627450980392135e-01
9.900759719987384244e-04,9.411764705882352811e-01,0.000000000000000000e+00
9.900779719986818606e-04,8.627450980392157298e-01,-7.843137254901960675e-02
9.900799719986252967e-04,9.019607843137255054e-01,1.176470588235294101e-01
9.900819719985687328e-04,9.019607843137255054e-01,-1.568627450980392135e-01
9.900839719985121690e-04,9.411764705882352811e-01,3.921568627450980338e-02
9.900859719984556051e-04,8.627450980392157298e-01,0.000000000000000000e+00
9.900879719983990412e-04,9.019607843137255054e-01,3.921568627450980338e-02
9.900899719983424774e-04,9.019607843137255054e-01,1.568627450980392135e-01
9.900919719982859135e-04,9.411764705882352811e-01,-7.843137254901960675e-02
9.900939719982293497e-04,8.235294117647058432e-01,3.921568627450980338e-02
9.900959719981727858e-04,8.627450980392157298e-01,0.000000000000000000e+00
9.900979719981162219e-04,9.019607843137255054e-01,0.000000000000000000e+00
9.900999719980596581e-04,9.411764705882352811e-01,7.843137254901960675e-02
9.901019719980030942e-04,8.627450980392157298e-01,-7.843137254901960675e-02
9.901039719979465303e-04,9.019607843137255054e-01,7.843137254901960675e-02
9.901059719978899665e-04,9.019607843137255054e-01,3.921568627450980338e-02
9.901079719978334026e-04,9.411764705882352811e-01,-7.843137254901960675e-02
9.901099719977768387e-04,8.235294117647058432e-01,1.568627450980392135e-01
9.901119719977202749e-04,8.627450980392157298e-01,-1.960784313725490169e-01
9.901139719976637110e-04,9.019607843137255054e-01,1.568627450980392135e-01
9.901159719976071472e-04,9.411764705882352811e-01,0.000000000000000000e+00
9.901179719975505833e-04,8.627450980392157298e-01,-3.921568627450980338e-02
9.901199719974940194e-04,9.019607843137255054e-01,1.176470588235294101e-01
9.901219719974374556e-04,9.019607843137255054e-01,-3.921568627450980338e-02
9.901239719973808917e-04,9.411764705882352811e-01,7.843137254901960675e-02
9.901259719973243278e-04,8.627450980392157298e-01,0.000000000000000000e+00
9.901279719972677640e-04,8.627450980392157298e-01,-1.568627450980392135e-01
9.901299719972112001e-04,9.019607843137255054e-01,1.176470588235294101e-01
9.901319719971546363e-04,9.411764705882352811e-01,-7.843137254901960675e-02
9.901339719970980724e-04,8.627450980392157298e-01,3.921568627450980338e-02
9.901359719970415085e-04,9.019607843137255054e-01,0.000000000000000000e+00
9.901379719969849447e-04,9.411764705882352811e-01,7.843137254901960675e-02
9.901399719969283808e-04,9.411764705882352811e-01,7.843137254901960675e-02
9.901419719968718169e-04,8.627450980392157298e-01,-7.843137254901960675e-02
9.901439719968152531e-04,9.019607843137255054e-01,7.843137254901960675e-02
9.901459719967586892e-04,9.019607843137255054e-01,0.000000000000000000e+00
9.901479719967021254e-04,9.019607843137255054e-01,-7.843137254901960675e-02
9.901499719966455615e-04,8.627450980392157298e-01,1.176470588235294101e-01
9.901519719965889976e-04,9.019607843137255054e-01,-1.568627450980392135e-01
9.901539719965324338e-04,8.627450980392157298e-01,1.568627450980392135e-01
9.901559719964758699e-04,9.803921568627450567e-01,0.000000000000000000e+00
9.901579719964193060e-04,8.627450980392157298e-01,-7.843137254901960675e-02
9.901599719963627422e-04,9.019607843137255054e-01,7.843137254901960675e-02
9.901619719963061783e-04,9.019607843137255054e-01,-7.843137254901960675e-02
9.901639719962496144e-04,9.411764705882352811e-01,7.843137254901960675e-02
9.901659719961930506e-04,8.627450980392157298e-01,3.921568627450980338e-02
