time_s,CH1_V,CH2_V
9.900004845008734435e-04,9.411764705882352811e-01,0.000000000000000000e+00
9.900024845008168796e-04,8.235294117647058432e-01,7.843137254901960675e-02
9.900044845007603157e-04,9.019607843137255054e-01,-7.843137254901960675e-02
9.900064845007037519e-04,9.019607843137255054e-01,1.176470588235294101e-01
9.900084845006471880e-04,9.411764705882352811e-01,0.000000000000000000e+00
9.900104845005906241e-04,8.235294117647058432e-01,0.000000000000000000e+00
9.900124845005340603e-04,8.627450980392157298e-01,7.843137254901960675e-02
9.900144845004774964e-04,9.019607843137255054e-01,-3.921568627450980338e-02
9.900164845004209326e-04,9.019607843137255054e-01,7.843137254901960675e-02
9.900184845003643687e-04,8.235294117647058432e-01,0.000000000000000000e+00
9.900204845003078048e-04,8.627450980392157298e-01,0.000000000000000000e+00
9.900224845002512410e-04,9.019607843137255054e-01,7.843137254901960675e-02
9.900244845001946771e-04,9.411764705882352811e-01,-7.843137254901960675e-02
9.900264845001381132e-04,8.627450980392157298e-01,7.843137254901960675e-02
9.900284845000815494e-04,9.019607843137255054e-01,0.000000000000000000e+00
9.900304845000249855e-04,9.019607843137255054e-01,3.921568627450980338e-02
9.900324844999684216e-04,9.411764705882352811e-01,7.843137254901960675e-02
9.900344844999118578e-04,8.235294117647058432e-01,-3.921568627450980338e-02
9.900364844998552939e-04,8.627450980392157298e-01,7.843137254901960675e-02
9.900384844997987301e-04,9.019607843137255054e-01,0.000000000000000000e+00
9.900404844997421662e-04,9.411764705882352811e-01,0.000000000000000000e+00
9.900424844996856023e-04,8.235294117647058432e-01,7.843137254901960675e-02
9.900444844996290385e-04,8.235294117647058432e-01,-1.568627450980392135e-01
9.900464844995724746e-04,9.019607843137255054e-01,1.176470588235294101e-01
9.900484844995159107e-04,9.411764705882352811e-01,0.000000000000000000e+00
9.900504844994593469e-04,8.627450980392157298e-01,-3.921568627450980338e-02
9.900524844994027830e-04,8.627450980392157298e-01,7.843137254901960675e-02
9.900544844993462192e-04,9.411764705882352811e-01,-3.921568627450980338e-02
9.900564844992896553e-04,9.411764705882352811e-01,7.843137254901960675e-02
9.900584844992330914e-04,8.627450980392157298e-01,0.000000000000000000e+00
9.900604844991765276e-04,9.019607843137255054e-01,3.921568627450980338e-02
9.900624844991199637e-04,9.019607843137255054e-01,1.176470588235294101e-01
9.900644844990633998e-04,9.411764705882352811e-01,-1.568627450980392135e-01
9.900664844990068360e-04,8.627450980392157298e-01,-7.843137254901960675e-02
9.900684844989502721e-04,8.235294117647058432e-01,7.843137254901960675e-02
9.900704844988937083e-04,9.019607843137255054e-01,3.137254901960784270e-01
