time_s,CH1_V,CH2_V
9.900001118818362554e-04,8.627450980392157298e-01,-7.843137254901960675e-02
9.900021118817796915e-04,8.627450980392157298e-01,7.843137254901960675e-02
9.900041118817231277e-04,8.627450980392157298e-01,3.921568627450980338e-02
9.900061118816665638e-04,9.411764705882352811e-01,-7.843137254901960675e-02
9.900081118816100000e-04,8.235294117647058432e-01,1.568627450980392135e-01
9.900101118815534361e-04,8.627450980392157298e-01,-1.568627450980392135e-01
9.900121118814968722e-04,9.019607843137255054e-01,1.176470588235294101e-01
9.900141118814403084e-04,9.019607843137255054e-01,0.000000000000000000e+00
9.900161118813837445e-04,8.627450980392157298e-01,-7.843137254901960675e-02
9.900181118813271806e-04,8.627450980392157298e-01,7.843137254901960675e-02
9.900201118812706168e-04,9.019607843137255054e-01,-7.843137254901960675e-02
9.900221118812140529e-04,9.411764705882352811e-01,7.843137254901960675e-02
9.900241118811574891e-04,8.235294117647058432e-01,0.000000000000000000e+00
9.900261118811009252e-04,9.019607843137255054e-01,-7.843137254901960675e-02
9.900281118810443613e-04,9.019607843137255054e-01,1.568627450980392135e-01
9.900301118809877975e-04,9.411764705882352811e-01,-7.843137254901960675e-02
9.900321118809312336e-04,8.627450980392157298e-01,3.921568627450980338e-02
9.900341118808746697e-04,8.627450980392157298e-01,3.921568627450980338e-02
9.900361118808181059e-04,9.019607843137255054e-01,3.921568627450980338e-02
9.900381118807615420e-04,9.019607843137255054e-01,1.176470588235294101e-01
9.900401118807049781e-04,8.235294117647058432e-01,-7.843137254901960675e-02
9.900421118806484143e-04,9.019607843137255054e-01,3.921568627450980338e-02
9.900441118805918504e-04,9.019607843137255054e-01,3.921568627450980338e-02
9.900461118805352866e-04,9.411764705882352811e-01,-7.843137254901960675e-02
9.900481118804787227e-04,8.235294117647058432e-01,1.176470588235294101e-01
9.900501118804221588e-04,9.019607843137255054e-01,-1.568627450980392135e-01
9.900521118803655950e-04,9.019607843137255054e-01,1.568627450980392135e-01
9.900541118803090311e-04,9.411764705882352811e-01,3.921568627450980338e-02
9.900561118802524672e-04,9.019607843137255054e-01,-7.843137254901960675e-02
9.900581118801959034e-04,8.627450980392157298e-01,1.176470588235294101e-01
9.900601118801393395e-04,9.019607843137255054e-01,-3.921568627450980338e-02
9.900621118800827757e-04,9.411764705882352811e-01,7.843137254901960675e-02
9.900641118800262118e-04,8.627450980392157298e-01,0.000000000000000000e+00
9.900661118799696479e-04,9.019607843137255054e-01,0.000000000000000000e+00
9.900681118799130841e-04,9.019607843137255054e-01,1.568627450980392135e-01
9.900701118798565202e-04,9.411764705882352811e-01,-7.843137254901960675e-02
9.900721118797999563e-04,8.627450980392157298e-01,3.921568627450980338e-02
9.900741118797433925e-04,8.235294117647058432e-01,3.921568627450980338e-02
9.900761118796868286e-04,9.411764705882352811e-01,-3.921568627450980338e-02
9.900781118796302648e-04,9.411764705882352811e-01,7.843137254901960675e-02
9.900801118795737009e-04,8.235294117647058432e-01,-3.921568627450980338e-02
9.900821118795171370e-04,8.627450980392157298e-01,7.843137254901960675e-02
9.900841118794605732e-04,9.019607843137255054e-01,3.921568627450980338e-02
9.900861118794040093e-04,9.411764705882352811e-01,-1.568627450980392135e-01
9.900881118793474454e-04,8.627450980392157298e-01,1.568627450980392135e-01
9.900901118792908816e-04,9.019607843137255054e-01,-1.568627450980392135e-01
9.900921118792343177e-04,9.019607843137255054e-01,1.176470588235294101e-01
9.900941118791777538e-04,9.019607843137255054e-01,0.000000000000000000e+00
9.900961118791211900e-04,8.627450980392157298e-01,-7.843137254901960675e-02
9.900981118790646261e-04,8.235294117647058432e-01,1.176470588235294101e-01
9.901001118790080623e-04,8.627450980392157298e-01,-3.921568627450980338e-02
9.901021118789514984e-04,9.411764705882352811e-01,7.843137254901960675e-02
9.901041118788949345e-04,8.627450980392157298e-01,3.921568627450980338e-02
9.901061118788383707e-04,8.627450980392157298e-01,0.000000000000000000e+00
9.901081118787818068e-04,9.019607843137255054e-01,1.176470588235294101e-01
9.901101118787252429e-04,9.411764705882352811e-01,-7.843137254901960675e-02
9.901121118786686791e-04,8.235294117647058432e-01,3.921568627450980338e-02
9.901141118786121152e-04,9.019607843137255054e-01,3.921568627450980338e-02
9.901161118785555514e-04,9.019607843137255054e-01,0.000000000000000000e+00
9.901181118784989875e-04,9.411764705882352811e-01,7.843137254901960675e-02
9.901201118784424236e-04,8.627450980392157298e-01,-7.843137254901960675e-02
9.901221118783858598e-04,8.627450980392157298e-01,7.843137254901960675e-02
9.901241118783292959e-04,9.411764705882352811e-01,3.921568627450980338e-02
