time_s,CH1_V,CH2_V
9.900002372786580879e-04,9.019607843137255054e-01,7.843137254901960675e-02
9.900022372786015240e-04,9.019607843137255054e-01,1.176470588235294101e-01
9.900042372785449601e-04,9.411764705882352811e-01,-7.843137254901960675e-02
9.900062372784883963e-04,8.627450980392157298e-01,7.843137254901960675e-02
9.900082372784318324e-04,9.019607843137255054e-01,0.000000000000000000e+00
9.900102372783752686e-04,9.019607843137255054e-01,7.843137254901960675e-02
9.900122372783187047e-04,9.019607843137255054e-01,3.921568627450980338e-02
9.900142372782621408e-04,8.627450980392157298e-01,-7.843137254901960675e-02
9.900162372782055770e-04,8.235294117647058432e-01,7.843137254901960675e-02
9.900182372781490131e-04,9.019607843137255054e-01,0.000000000000000000e+00
9.900202372780924492e-04,9.411764705882352811e-01,0.000000000000000000e+00
9.900222372780358854e-04,8.627450980392157298e-01,7.843137254901960675e-02
9.900242372779793215e-04,8.627450980392157298e-01,-1.568627450980392135e-01
9.900262372779227577e-04,9.019607843137255054e-01,7.843137254901960675e-02
9.900282372778661938e-04,9.411764705882352811e-01,-3.921568627450980338e-02
9.900302372778096299e-04,8.627450980392157298e-01,0.000000000000000000e+00
9.900322372777530661e-04,9.019607843137255054e-01,7.843137254901960675e-02
9.900342372776965022e-04,9.019607843137255054e-01,0.000000000000000000e+00
9.900362372776399383e-04,9.019607843137255054e-01,7.843137254901960675e-02
9.900382372775833745e-04,8.235294117647058432e-01,-3.921568627450980338e-02
9.900402372775268106e-04,9.019607843137255054e-01,3.921568627450980338e-02
9.900422372774702467e-04,8.627450980392157298e-01,3.921568627450980338e-02
9.900442372774136829e-04,9.411764705882352811e-01,-7.843137254901960675e-02
9.900462372773571190e-04,8.235294117647058432e-01,7.843137254901960675e-02
9.900482372773005552e-04,8.627450980392157298e-01,0.000000000000000000e+00
9.900502372772439913e-04,9.019607843137255054e-01,7.843137254901960675e-02
9.900522372771874274e-04,9.411764705882352811e-01,3.921568627450980338e-02
9.900542372771308636e-04,8.627450980392157298e-01,-7.843137254901960675e-02
9.900562372770742997e-04,9.019607843137255054e-01,7.843137254901960675e-02
9.900582372770177358e-04,8.627450980392157298e-01,-3.921568627450980338e-02
9.900602372769611720e-04,9.411764705882352811e-01,0.000000000000000000e+00
9.900622372769046081e-04,8.235294117647058432e-01,7.843137254901960675e-02
9.900642372768480443e-04,9.019607843137255054e-01,-1.568627450980392135e-01
9.900662372767914804e-04,9.411764705882352811e-01,7.843137254901960675e-02
9.900682372767349165e-04,9.411764705882352811e-01,0.000000000000000000e+00
9.900702372766783527e-04,8.627450980392157298e-01,-3.921568627450980338e-02
9.900722372766217888e-04,8.235294117647058432e-01,3.921568627450980338e-02
9.900742372765652249e-04,9.019607843137255054e-01,0.000000000000000000e+00
9.900762372765086611e-04,9.411764705882352811e-01,0.000000000000000000e+00
9.900782372764520972e-04,8.235294117647058432e-01,-7.843137254901960675e-02
9.900802372763955334e-04,8.235294117647058432e-01,3.921568627450980338e-02
9.900822372763389695e-04,9.411764705882352811e-01,3.921568627450980338e-02
9.900842372762824056e-04,9.411764705882352811e-01,-7.843137254901960675e-02
9.900862372762258418e-04,8.627450980392157298e-01,7.843137254901960675e-02
9.900882372761692779e-04,8.627450980392157298e-01,0.000000000000000000e+00
9.900902372761127140e-04,9.019607843137255054e-01,7.843137254901960675e-02
9.900922372760561502e-04,9.411764705882352811e-01,3.921568627450980338e-02
9.900942372759995863e-04,8.235294117647058432e-01,-7.843137254901960675e-02
9.900962372759430224e-04,8.235294117647058432e-01,3.921568627450980338e-02
9.900982372758864586e-04,9.019607843137255054e-01,-3.921568627450980338e-02
9.901002372758298947e-04,9.411764705882352811e-01,-3.921568627450980338e-02
9.901022372757733309e-04,8.235294117647058432e-01,7.843137254901960675e-02
9.901042372757167670e-04,9.019607843137255054e-01,-1.568627450980392135e-01
9.901062372756602031e-04,8.627450980392157298e-01,1.568627450980392135e-01
9.901082372756036393e-04,9.019607843137255054e-01,-7.843137254901960675e-02
9.901102372755470754e-04,8.235294117647058432e-01,0.000000000000000000e+00
9.901122372754905115e-04,9.019607843137255054e-01,7.843137254901960675e-02
9.901142372754339477e-04,9.019607843137255054e-01,-3.921568627450980338e-02
9.901162372753773838e-04,9.411764705882352811e-01,7.843137254901960675e-02
9.901182372753208200e-04,8.627450980392157298e-01,-3.921568627450980338e-02
9.901202372752642561e-04,9.019607843137255054e-01,0.000000000000000000e+00
9.901222372752076922e-04,9.019607843137255054e-01,7.843137254901960675e-02
9.901242372751511284e-04,9.411764705882352811e-01,-3.921568627450980338e-02
9.901262372750945645e-04,8.235294117647058432e-01,7.843137254901960675e-02
9.901282372750380006e-04,9.019607843137255054e-01,0.000000000000000000e+00
9.901302372749814368e-04,9.019607843137255054e-01,7.843137254901960675e-02
9.901322372749248729e-04,9.411764705882352811e-01,3.921568627450980338e-02
9.901342372748683091e-04,8.627450980392157298e-01,-7.843137254901960675e-02
9.901362372748117452e-04,8.627450980392157298e-01,3.921568627450980338e-02
9.901382372747551813e-04,9.019607843137255054e-01,-3.921568627450980338e-02
9.901402372746986175e-04,9.411764705882352811e-01,3.921568627450980338e-02
9.901422372746420536e-04,8.627450980392157298e-01,7.843137254901960675e-02
9.901442372745854897e-04,8.627450980392157298e-01,-3.921568627450980338e-02
9.901462372745289259e-04,9.019607843137255054e-01,1.176470588235294101e-01
9.901482372744723620e-04,9.411764705882352811e-01,0.000000000000000000e+00
9.901502372744157981e-04,8.627450980392157298e-01,-3.921568627450980338e-02
9.901522372743592343e-04,8.627450980392157298e-01,7.843137254901960675e-02
9.901542372743026704e-04,9.019607843137255054e-01,0.000000000000000000e+00
9.901562372742461066e-04,9.411764705882352811e-01,3.921568627450980338e-02
9.901582372741895427e-04,8.627450980392157298e-01,0.000000000000000000e+00
9.901602372741329788e-04,8.627450980392157298e-01,3.921568627450980338e-02
9.901622372740764150e-04,8.627450980392157298e-01,3.921568627450980338e-02
9.901642372740198511e-04,9.411764705882352811e-01,-7.843137254901960675e-02
9.901662372739632872e-04,8.627450980392157298e-01,7.843137254901960675e-02
9.901682372739067234e-04,9.019607843137255054e-01,0.000000000000000000e+00
9.901702372738501595e-04,9.019607843137255054e-01,1.176470588235294101e-01
9.901722372737935957e-04,9.411764705882352811e-01,0.000000000000000000e+00
9.901742372737370318e-04,8.627450980392157298e-01,-7.843137254901960675e-02
9.901762372736804679e-04,8.627450980392157298e-01,7.843137254901960675e-02
9.901782372736239041e-04,9.019607843137255054e-01,0.000000000000000000e+00
9.901802372735673402e-04,9.411764705882352811e-01,0.000000000000000000e+00
9.901822372735107763e-04,8.235294117647058432e-01,7.843137254901960675e-02
9.901842372734542125e-04,8.627450980392157298e-01,-1.568627450980392135e-01
9.901862372733976486e-04,8.627450980392157298e-01,1.176470588235294101e-01
9.901882372733410848e-04,9.411764705882352811e-01,-3.921568627450980338e-02
9.901902372732845209e-04,8.235294117647058432e-01,3.921568627450980338e-02
9.901922372732279570e-04,8.627450980392157298e-01,7.843137254901960675e-02
9.901942372731713932e-04,9.019607843137255054e-01,-3.921568627450980338e-02
9.901962372731148293e-04,9.411764705882352811e-01,7.843137254901960675e-02
9.901982372730582654e-04,8.627450980392157298e-01,0.000000000000000000e+00
9.902002372730017016e-04,9.019607843137255054e-01,3.921568627450980338e-02
9.902022372729451377e-04,9.019607843137255054e-01,7.843137254901960675e-02
9.902042372728885739e-04,9.411764705882352811e-01,-7.843137254901960675e-02
9.902062372728320100e-04,8.627450980392157298e-01,7.843137254901960675e-02
9.902082372727754461e-04,9.019607843137255054e-01,-7.843137254901960675e-02
9.902102372727188823e-04,9.019607843137255054e-01,3.921568627450980338e-02
9.902122372726623184e-04,9.019607843137255054e-01,3.921568627450980338e-02
9.902142372726057545e-04,8.235294117647058432e-01,-7.843137254901960675e-02
9.902162372725491907e-04,9.019607843137255054e-01,7.843137254901960675e-02
9.902182372724926268e-04,9.019607843137255054e-01,-3.921568627450980338e-02
9.902202372724360629e-04,9.411764705882352811e-01,0.000000000000000000e+00
9.902222372723794991e-04,8.627450980392157298e-01,7.843137254901960675e-02
9.902242372723229352e-04,8.627450980392157298e-01,-1.568627450980392135e-01
9.902262372722663714e-04,9.019607843137255054e-01,1.176470588235294101e-01
9.902282372722098075e-04,9.411764705882352811e-01,-3.921568627450980338e-02
9.902302372721532436e-04,8.627450980392157298e-01,-3.921568627450980338e-02
9.902322372720966798e-04,8.627450980392157298e-01,7.843137254901960675e-02
9.902342372720401159e-04,9.019607843137255054e-01,-3.921568627450980338e-02
9.902362372719835520e-04,9.411764705882352811e-01,7.843137254901960675e-02
9.902382372719269882e-04,8.627450980392157298e-01,-3.921568627450980338e-02
9.902402372718704243e-04,8.627450980392157298e-01,0.000000000000000000e+00
9.902422372718138605e-04,9.019607843137255054e-01,3.921568627450980338e-02
9.902442372717572966e-04,9.411764705882352811e-01,-7.843137254901960675e-02
9.902462372717007327e-04,8.235294117647058432e-01,7.843137254901960675e-02
9.902482372716441689e-04,8.627450980392157298e-01,0.000000000000000000e+00
9.902502372715876050e-04,9.019607843137255054e-01,7.843137254901960675e-02
9.902522372715310411e-04,9.411764705882352811e-01,3.921568627450980338e-02
9.902542372714744773e-04,8.627450980392157298e-01,-7.843137254901960675e-02
9.902562372714179134e-04,8.627450980392157298e-01,3.921568627450980338e-02
9.902582372713613496e-04,9.019607843137255054e-01,-3.921568627450980338e-02
9.902602372713047857e-04,9.019607843137255054e-01,-3.921568627450980338e-02
9.902622372712482218e-04,8.235294117647058432e-01,7.843137254901960675e-02
9.902642372711916580e-04,8.627450980392157298e-01,-3.921568627450980338e-02
9.902662372711350941e-04,8.627450980392157298e-01,1.568627450980392135e-01
9.902682372710785302e-04,9.411764705882352811e-01,-7.843137254901960675e-02
9.902702372710219664e-04,8.627450980392157298e-01,0.000000000000000000e+00
9.902722372709654025e-04,8.235294117647058432e-01,3.921568627450980338e-02
9.902742372709088386e-04,9.019607843137255054e-01,-7.843137254901960675e-02
9.902762372708522748e-04,9.411764705882352811e-01,3.921568627450980338e-02
9.902782372707957109e-04,8.627450980392157298e-01,-3.921568627450980338e-02
9.902802372707391471e-04,8.627450980392157298e-01,3.921568627450980338e-02
9.902822372706825832e-04,9.019607843137255054e-01,0.000000000000000000e+00
9.902842372706260193e-04,9.411764705882352811e-01,-3.921568627450980338e-02
9.902862372705694555e-04,8.235294117647058432e-01,3.921568627450980338e-02
9.902882372705128916e-04,8.627450980392157298e-01,0.000000000000000000e+00
9.902902372704563277e-04,8.627450980392157298e-01,7.843137254901960675e-02
9.902922372703997639e-04,9.411764705882352811e-01,3.921568627450980338e-02
9.902942372703432000e-04,8.627450980392157298e-01,-7.843137254901960675e-02
9.902962372702866362e-04,9.019607843137255054e-01,3.921568627450980338e-02
9.902982372702300723e-04,8.627450980392157298e-01,0.000000000000000000e+00
9.903002372701735084e-04,9.411764705882352811e-01,0.000000000000000000e+00
9.903022372701169446e-04,8.235294117647058432e-01,7.843137254901960675e-02
9.903042372700603807e-04,9.411764705882352811e-01,-7.843137254901960675e-02
9.903062372700038168e-04,9.019607843137255054e-01,1.568627450980392135e-01
9.903082372699472530e-04,9.411764705882352811e-01,0.000000000000000000e+00
9.903102372698906891e-04,8.627450980392157298e-01,0.000000000000000000e+00
9.903122372698341253e-04,8.627450980392157298e-01,7.843137254901960675e-02
9.903142372697775614e-04,9.019607843137255054e-01,-3.921568627450980338e-02
9.903162372697209975e-04,9.019607843137255054e-01,3.921568627450980338e-02
9.903182372696644337e-04,8.627450980392157298e-01,0.000000000000000000e+00
9.903202372696078698e-04,9.019607843137255054e-01,0.000000000000000000e+00
9.903222372695513059e-04,8.627450980392157298e-01,0.000000000000000000e+00
9.903242372694947421e-04,9.411764705882352811e-01,-3.921568627450980338e-02
9.903262372694381782e-04,8.235294117647058432e-01,7.843137254901960675e-02
9.903282372693816143e-04,9.019607843137255054e-01,0.000000000000000000e+00
9.903302372693250505e-04,9.019607843137255054e-01,1.176470588235294101e-01
9.903322372692684866e-04,9.411764705882352811e-01,0.000000000000000000e+00
9.903342372692119228e-04,8.627450980392157298e-01,-7.843137254901960675e-02
9.903362372691553589e-04,9.019607843137255054e-01,7.843137254901960675e-02
9.903382372690987950e-04,8.627450980392157298e-01,0.000000000000000000e+00
9.903402372690422312e-04,9.019607843137255054e-01,0.000000000000000000e+00
9.903422372689856673e-04,8.235294117647058432e-01,3.921568627450980338e-02
9.903442372689291034e-04,8.627450980392157298e-01,-1.568627450980392135e-01
9.903462372688725396e-04,9.019607843137255054e-01,1.176470588235294101e-01
9.903482372688159757e-04,9.411764705882352811e-01,0.000000000000000000e+00
9.903502372687594119e-04,8.627450980392157298e-01,0.000000000000000000e+00
